seqnames	start	end	width	strand	score	replicateScoreQuantile	groupScoreQuantile	Reproducibility	GroupReplicate	distToGeneStart	nearestGene	peakType	distToTSS	nearestTSS	GC	idx	N	peak_id
chr14	20198863	20199363	501	*	14.10826	0.523	0.347	3	Microglia._.D19-12703	1776	OR11G2	Distal	1776	uc061kio.1	0.4132	1877	0	Peak61395
chr14	76768229	76768729	501	*	121.88082	0.996	0.991	5	Microglia._.D19-12703	6289	VASH1	Intronic	1401	uc061lof.1	0.6008	35	0	Peak63173
chr14	58139043	58139543	501	*	50.13203	0.79	0.698	4	Microglia._.Other	60786	ACTR10	Exonic	51	uc061lck.1	0.4152	921	0	Peak62246
chr14	74612443	74612943	501	*	70.51493	0.859	0.791	4	Microglia._.Other	314	LTBP2	Promoter	314	uc010ytj.2	0.7086	655	0	Peak62994
chr14	24399419	24399919	501	*	10.50604	0.48	0.3	2	Microglia._.D19-13169	882	NYNRIN	Intronic	882	uc061kql.1	0.5968	1996	0	Peak61749
chr14	92647787	92648287	501	*	55.10212	0.81	0.724	4	Microglia._.Other	100664	LGMN	Intronic	2880	uc061ltc.1	0.5609	860	0	Peak63699
chr14	96962202	96962702	501	*	20.7419	0.656	0.518	5	Microglia._.D19-12703	18872	LINC00618	Distal	18812	uc002swy.4	0.485	1431	0	Peak63859
chr14	68813289	68813789	501	*	9.69559	0.32	0.142	2	Microglia._.Other	17285	ZFP36L1	Distal	17285	uc061lhx.1	0.5489	2448	0	Peak62754
chr14	76190228	76190728	501	*	29.78221	0.665	0.537	2	Microglia._.Other	38561	GPATCH2L	Intronic	5429	uc032ntz.1	0.3393	1371	0	Peak63141
chr14	100192784	100193284	501	*	119.60684	0.996	0.991	5	Microglia._.D19-12703	32870	DEGS2	Distal	32870	uc061lyr.1	0.7046	37	0	Peak63935
chr14	67427073	67427573	501	*	14.56691	0.458	0.278	4	Microglia._.Other	14606	MIR5694	Distal	14606	uc061lhe.1	0.5669	2066	0	Peak62570
chr14	100221374	100221874	501	*	65.29874	0.844	0.772	4	Microglia._.Other	17360	YY1	Distal	16673	uc061lys.1	0.493	714	0	Peak63938
